Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=2311.4182208132343, y=247.8471228749778, orientation=-0.979963303089838}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=2311.4182208132343, y=247.8471228749778, orientation=-0.979963303089838}

Position{x=2434.7379860884666, y=64.64526893031527, orientation=-0.9766609739879539}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=2311.4182208132343, y=247.8471228749778, orientation=-0.979963303089838}

Position{x=2434.7379860884666, y=64.64526893031527, orientation=-0.9766609739879539}

We are colliding with the checkpoint and we are now heading towards the checkpoint : 1
Position{x=2461.0923577012964, y=-61.63189901449208, orientation=-1.8574900917031856}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=2311.4182208132343, y=247.8471228749778, orientation=-0.979963303089838}

Position{x=2434.7379860884666, y=64.64526893031527, orientation=-0.9766609739879539}

We are colliding with the checkpoint and we are now heading towards the checkpoint : 1
Position{x=2461.0923577012964, y=-61.63189901449208, orientation=-1.8574900917031856}

Position{x=2497.845474782462, y=-125.41073423339041, orientation=-0.22218993887334265}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=2311.4182208132343, y=247.8471228749778, orientation=-0.979963303089838}

Position{x=2434.7379860884666, y=64.64526893031527, orientation=-0.9766609739879539}

We are colliding with the checkpoint and we are now heading towards the checkpoint : 1
Position{x=2461.0923577012964, y=-61.63189901449208, orientation=-1.8574900917031856}

Position{x=2497.845474782462, y=-125.41073423339041, orientation=-0.22218993887334265}

Position{x=2735.742453085165, y=-120.09710152753425, orientation=0.2721786990583063}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=2311.4182208132343, y=247.8471228749778, orientation=-0.979963303089838}

Position{x=2434.7379860884666, y=64.64526893031527, orientation=-0.9766609739879539}

We are colliding with the checkpoint and we are now heading towards the checkpoint : 1
Position{x=2461.0923577012964, y=-61.63189901449208, orientation=-1.8574900917031856}

Position{x=2497.845474782462, y=-125.41073423339041, orientation=-0.22218993887334265}

Position{x=2735.742453085165, y=-120.09710152753425, orientation=0.2721786990583063}

Position{x=2973.563643376319, y=-114.04695164863772, orientation=-0.2258499327249838}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

Position{x=2105.7267090359455, y=608.1892524437937, orientation=-1.2388077330477099}

Position{x=2191.1452639808563, y=431.73680773966925, orientation=-1.0029992619575612}

Position{x=2311.4182208132343, y=247.8471228749778, orientation=-0.979963303089838}

Position{x=2434.7379860884666, y=64.64526893031527, orientation=-0.9766609739879539}

We are colliding with the checkpoint and we are now heading towards the checkpoint : 1
Position{x=2461.0923577012964, y=-61.63189901449208, orientation=-1.8574900917031856}

Position{x=2497.845474782462, y=-125.41073423339041, orientation=-0.22218993887334265}

Position{x=2735.742453085165, y=-120.09710152753425, orientation=0.2721786990583063}

Position{x=2973.563643376319, y=-114.04695164863772, orientation=-0.2258499327249838}

Position{x=3225.746168312551, y=-182.77721841596613, orientation=-0.30723365595347907}

Position{x=1336.3754889178724, y=735.6770833333329, orientation=0.0}

Position{x=1585.4155035400076, y=769.0299570905095, orientation=0.269602280382011}

Position{x=1837.1759359966898, y=839.1232499067432, orientation=0.27350937468661146}

Position{x=2012.4403427390123, y=783.8374332109142, orientation=-0.9361413965012765}

